completed,dropped,mean_score,gender
1071,675,230,7.57,Female
1072,230,29,6.15,Male
1074,70,3,8.08,Male
1076,54,4,8.19,Female
1078,245,22,7.91,Male
1079,455,34,5.55,Male
1080,605,15,7.92,Male
1081,68,1,7.0,Male
1082,58,6,6.94,Male
1083,816,20,6.55,Male
1085,122,0,6.46,Female
1086,308,32,8.03,Female
1087,221,28,5.94,Male
1088,602,31,8.79,Female
1090,115,14,7.73,Female
1092,686,48,7.08,Male
1093,115,0,6.28,Male
1094,274,0,8.07,Male
1096,174,2,7.93,Male
1098,167,24,5.51,Male
1100,178,17,5.75,Female
1101,411,63,7.9,Male
1102,228,1,7.95,Male
1103,277,0,6.62,Male
1105,190,22,6.98,Male
1106,387,0,7.63,Male
1107,663,0,7.11,Male
1108,472,0,8.0,Male
1109,268,24,6.72,Male
1111,76,7,7.81,Female
1116,253,35,6.94,Male
1117,348,1,7.9,Male
1118,99,11,8.38,Male
1119,213,15,5.82,Female
1120,267,12,7.38,Male
1121,120,1,7.27,Male
1122,329,0,7.3,Male
1123,575,0,7.37,Male
1124,226,0,7.46,Male
1125,390,0,7.55,Male
1127,277,0,6.89,Male
1129,139,28,5.1,Male
1131,686,7,6.53,Male
1132,99,1,7.14,Male
1134,500,46,8.09,Male
1136,148,16,7.04,Male
1137,157,21,7.75,Male
1139,624,0,7.48,Male
1140,106,0,7.38,Male
1142,229,23,7.32,Male
1143,398,0,6.1,Male
1144,527,0,8.22,Male
1145,58,0,8.47,Male
1146,732,146,5.28,Male
1147,178,12,7.36,Female
1150,212,39,7.09,Male
1151,337,58,7.02,Male
1152,509,5,8.07,Male
1153,185,0,8.56,Male
1154,408,10,7.45,Female
1155,378,26,6.55,Male
1157,48,8,9.06,Male
1160,617,1,7.67,Male
1161,210,24,8.66,Male
1162,215,52,6.71,Female
1164,182,0,7.07,Male
1166,599,3,8.68,Male
1167,284,10,8.46,Male
1169,260,54,6.75,Female
1170,406,10,6.07,Female
1171,271,21,6.39,Male
1172,499,15,7.35,Male
1173,656,17,7.22,Male
1174,504,0,8.68,Male
1175,180,4,7.05,Male
1177,376,143,5.21,Male
1178,321,6,7.96,Male
1179,762,23,7.13,Male
1180,573,36,7.51,Male
1181,419,121,7.58,Female
1182,452,4,6.52,Male
1183,221,28,7.87,Male
1184,349,17,6.53,Male
1185,138,25,7.68,Male
1187,350,39,7.13,Male
1188,253,17,6.72,Male
1189,690,5,6.02,Male
1191,88,17,6.15,Male
1192,162,17,5.39,Male
1193,544,147,5.32,Male
1195,759,69,5.21,Male
1196,53,5,7.41,Male
1197,667,29,6.19,Male
1198,28,0,8.07,Male
1199,719,16,7.55,Female
1200,675,3,8.83,Male
1202,385,19,7.22,Male
1203,152,8,8.38,Male
1206,551,15,7.08,Male
1207,58,0,8.32,Non-Binary
1208,457,31,7.61,Female
1211,150,0,7.72,Male
1212,429,0,5.95,Male
1213,987,0,6.42,Male
1214,131,25,6.83,Male
1216,315,20,6.84,Male
1217,79,4,7.27,Male
1219,385,4,7.25,Male
1220,424,69,7.83,Male
1221,257,20,6.05,Male
1223,364,37,6.88,Male
1224,478,10,7.36,Male
1225,426,28,8.5,Female
1226,266,9,8.0,Male
1231,156,14,7.75,Male
1233,448,197,7.19,Male
1234,920,34,6.8,Female
1236,59,1,7.51,Male
1237,708,103,6.87,Male
1238,357,60,7.22,Female
1240,150,6,6.86,Male
1242,286,8,7.65,Male
1244,779,18,7.88,Male
1245,289,37,5.71,Male
1246,463,9,7.25,Male
1249,191,0,5.62,Male
1250,542,49,5.82,Male
1252,538,0,8.53,Male
1253,646,19,7.39,Male
1254,94,1,8.07,Male
1255,444,21,8.52,Male
1256,329,0,9.47,Male
1257,208,32,7.33,Male
1259,79,0,7.97,Male
1260,167,6,5.76,Male
1261,96,12,5.94,Male
1264,488,2,7.79,Female
1265,217,9,8.8,Male
1267,130,8,8.01,Male
1268,651,4,7.25,Male
1269,247,46,6.67,Male
1271,508,3,6.8,Female
1272,86,4,7.7,Male
1273,185,6,6.79,Male
1280,306,9,8.15,Male
1284,702,82,5.41,Female
1285,643,8,5.86,Male
1286,238,3,6.84,Female
1287,57,2,7.54,Female
1288,295,13,7.2,Male
1289,137,3,6.81,Female
1290,180,24,6.72,Female
1291,254,12,7.68,Male
1294,382,29,7.45,Male
1296,388,13,8.01,Female
1297,700,19,6.86,Male
1298,338,28,5.44,Male
1299,251,0,6.8,Female
1300,599,3,7.3,Female
1302,593,4,7.57,Male
1303,72,0,9.63,Male
1305,141,28,6.0,Male
1306,619,31,7.8,Male
1307,587,11,7.01,Female
1309,104,12,7.76,Male
1310,92,10,7.33,Female
1315,325,0,8.43,Male
1317,456,126,6.19,Male
1318,238,0,9.95,Female
1320,278,4,7.33,Male
1322,163,22,7.6,Male
1323,502,52,7.08,Female
1325,206,18,5.61,Female
1326,178,18,7.53,Male
1327,140,6,7.32,Male
1330,227,4,7.28,Male
1332,440,4,6.32,Male
1333,925,4,7.38,Male
1334,433,1,6.35,Male
1335,354,8,7.08,Male
1336,207,2,7.71,Male
1338,194,1,8.9,Male
1339,228,21,7.38,Female
1340,716,40,7.43,Male
1341,290,0,7.19,Male
1343,317,2,7.63,Male
1344,227,13,6.66,Male
1346,85,1,8.17,Male
1348,163,7,7.98,Male
1350,348,0,7.8,Male
1351,135,16,6.25,Male
1352,170,3,6.84,Male
1353,58,4,7.43,Male
1355,109,3,8.07,Male
1356,212,98,5.11,Male
1357,300,14,7.32,Male
1358,227,0,7.35,Female
1360,382,35,8.43,Male
1362,230,99,6.5,Male
1363,274,5,7.92,Male
1364,895,31,8.46,Male
1365,421,22,6.26,Male
1366,261,25,7.78,Male
1370,369,38,7.37,Male
1371,241,0,8.12,Female
1372,498,0,8.25,Male
1373,536,0,6.45,Male
1374,158,7,7.92,Male
1376,504,70,7.29,Male
1377,273,7,9.37,Male
1378,39,5,7.84,Male
1380,418,15,5.46,Non-Binary
1381,637,10,7.5,Female
1383,653,35,5.55,Male
1384,358,8,7.54,Female
1386,465,3,6.4,Male
1388,50,4,7.89,Male
1389,244,2,7.83,Male
1390,123,0,6.1,Male
1391,570,0,8.02,Female
1393,595,6,7.48,Male
1394,248,0,7.0,Female
1396,680,9,6.88,Non-Binary
1399,576,15,5.25,Male
1400,341,12,7.07,Female
1401,798,69,8.06,Male
1402,149,3,7.79,Male
1403,320,15,7.95,Male
1404,59,0,7.8,Male
1408,214,6,8.07,Female
1409,307,0,8.66,Female
1410,223,0,5.66,Male
1415,189,0,7.07,Female
1416,61,8,7.34,Male
1418,141,0,6.26,Male
1420,85,1,5.58,Male
1421,436,26,6.93,Male
1423,215,55,7.89,Female
1424,258,23,8.33,Male
1426,251,48,5.7,Male
1427,273,56,7.26,Male
1428,193,2,6.71,Male
1432,117,0,6.28,Female
1433,486,4,7.57,Male
1436,96,7,6.89,Male
1440,517,0,7.39,Male
1441,599,0,6.13,Male
1443,161,21,7.77,Male
1445,263,0,7.96,Male
1447,822,0,6.6,Male
1448,112,0,8.2,Male
1449,301,35,6.72,Male
1450,213,8,6.29,Male
1453,253,91,5.96,Male
1454,203,4,7.45,Male
1455,186,6,6.57,Male
1456,55,0,9.17,Male
1459,276,0,6.65,Female
1460,964,0,7.19,Female
1462,147,1,7.05,Male
1463,258,12,7.93,Male
1466,221,23,6.62,Male
1469,436,49,6.31,Male
1470,328,0,5.25,Male
1471,278,1,7.86,Male
1473,223,2,9.33,Male
1475,114,15,8.12,Non-Binary
1476,330,42,7.98,Male
1477,408,1,8.33,Male
1478,380,7,7.54,Female
1479,117,7,7.54,Male
1481,340,0,6.07,Male
1482,160,14,7.95,Male
1483,380,41,6.8,Male
1485,76,4,8.13,Male
1487,170,6,8.16,Female
1488,165,9,7.77,Male
1489,219,1,8.4,Male
1490,74,1,8.25,Male
1491,273,69,7.13,Male
1492,474,32,7.74,Female
1493,114,0,8.02,Female
1494,129,0,5.55,Female
1498,667,27,6.57,Male
1500,347,37,7.46,Male
1501,212,8,6.74,Male
